"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Editors","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Document Type","Publication Stage","Open Access","Source","EID"
"de Landa J.F.; Agerri R.","de Landa, Joseba Fernandez (57209346321); Agerri, Rodrigo (6508050065)","57209346321; 6508050065","Language Independent Stance Detection: Social Interaction-based Embeddings and Large Language Models; [Detección de Stance Independiente del Idioma: Representaciones Vectoriales basadas en Interacciones Sociales y Grandes Modelos de Lenguaje]","2025","Procesamiento del Lenguaje Natural","74","","","139","157","18","0","10.26342/2025-74-10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001988788&doi=10.26342%2f2025-74-10&partnerID=40&md5=c5e592a9e49971378c6f0dbd7a5ea0b3","HiTZ Center - Ixa, University of the Basque Country UPV/EHU, Spain","de Landa J.F., HiTZ Center - Ixa, University of the Basque Country UPV/EHU, Spain; Agerri R., HiTZ Center - Ixa, University of the Basque Country UPV/EHU, Spain","The large majority of the research performed on stance detection has been focused on developing more or less sophisticated text classification systems, even when many benchmarks are based on social network data such as Twitter. This paper aims to take on the stance detection task by placing the emphasis not so much on the text itself but on the interaction data available on social networks. More specifically, we propose a new method to leverage social information such as friends and retweets by generating Relational Embeddings, namely, dense vector representations of interaction pairs. Our experiments on seven publicly available datasets and four different languages (Basque, Catalan, Italian, and Spanish) show that combining our relational embeddings with discriminative textual methods helps to substantially improve performance, obtaining state-of-the-art results for six out of seven evaluation settings, outperforming strong baselines based on Large Language Models, or other popular interaction-based approaches such as DeepWalk or node2vec. ©2025 Sociedad Española para el Procesamiento del Lenguaje Natural.","Interactions; Large Language Models; Multilinguality; Natural Language Processing; Social Networks; Stance Detection","","","Sociedad Espanola para el Procesamiento del Lenguaje Natural","","","","","","Article","Final","","Scopus","2-s2.0-105001988788"
"Shu Y.; Jiang X.; Qiang X.; Wu H.","Shu, Yue (57556373200); Jiang, Xu (55942913100); Qiang, Xuhong (30067879000); Wu, Honglei (56094438400)","57556373200; 55942913100; 30067879000; 56094438400","Interpretable machine learning models for interface performance of Fe-SMA/steel: A metaheuristic-optimized framework for building retrofitting","2025","Structures","78","","109386","","","","0","10.1016/j.istruc.2025.109386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007599089&doi=10.1016%2fj.istruc.2025.109386&partnerID=40&md5=c59a2a15bb5e2ee127826c6e67b8477d","College of Civil Engineering, Tongji University, Shanghai, 200092, China; Tongji Architectural Design (Group) Co., Ltd., Shanghai, 200092, China","Shu Y., College of Civil Engineering, Tongji University, Shanghai, 200092, China; Jiang X., College of Civil Engineering, Tongji University, Shanghai, 200092, China; Qiang X., College of Civil Engineering, Tongji University, Shanghai, 200092, China; Wu H., Tongji Architectural Design (Group) Co., Ltd., Shanghai, 200092, China","The proactive strengthening technique leveraging the shape memory properties of iron-based shape memory alloy (Fe-SMA) can markedly enhance the durability and strength of buildings. A critical factor affecting the effectiveness of this strengthening method is the bond behavior between Fe-SMA and parent structures. However, due to the multitude of influencing factors, especially the effect of long-term hygrothermal environments, predicting bond strength is complex and time-consuming. In light of these challenges, machine learning (ML) offers an efficient scheme for predicting bond strength. This study uses explainable ML models to predict the bond strength of Fe-SMA/steel single joints (SJs). The performance of Spearman-based, importance-based, and norm-based feature selection methods is investigated to identify the most representative feature combinations. Sparrow Search Algorithm (SSA), Particle Swarm Optimization (PSO), Gorilla Troops Optimizer (GTO), and African Vultures Optimization Algorithm (AVOA) are employed to optimize the hyper-parameters of random forest (RF) and back-propagation neural network (BPNN). Additionally, the best-performing model is interpreted utilizing Shapley Additive Explanation (SHAP). The results demonstrate that GTO and SSA enhance the performance of RF and BPNN to the greatest extent, respectively. Compared to unoptimized algorithms, the prediction accuracy of GTO-RF and SSA-BPNN gets improved by 29.98 % and 44.15 %, respectively. Guaranteeing the quality of adhesives is essential for the mechanical performance of Fe-SMA-bonded strengthening structures, given the strong correlation between adhesive property and bond strength. Feature dependence analysis identifies that the effective length of SJs approaches 125 mm. This study offers valuable and innovative solutions for improving the quality and efficiency of Fe-SMA-bonded strengthening design for building maintenance. Its primary advantage lies in the integration of multiple optimization algorithms and explainable ML techniques. These approaches not only improve prediction accuracy but also enhance model interpretability, providing more reliable guidance for practical engineering applications. © 2025 Institution of Structural Engineers","Back-propagation neural network; Bond strength; Fe-SMA/steel single joint; Intelligent optimization algorithm; Random forest; Shapley additive explanation","Model structures; Structural dynamics; Structural health monitoring; Back-propagation neural networks; Bond strength; Fe-SMA/steel single joint; Intelligent optimization algorithm; Machine learning models; Optimizers; Random forests; Search Algorithms; Shapley; Shapley additive explanation; Bond strength (materials)","","Elsevier Ltd","","","","","","Article","Final","","Scopus","2-s2.0-105007599089"
"Pajo L.S.; Rabuya R.; Andacao A.; Tuano A.M.S.; Lobo J.","Pajo, Leonard Sydrick (56005001500); Rabuya, Rey (59755404400); Andacao, Arvin (57226609867); Tuano, Arianne Michael Sim (59757269600); Lobo, Joseph (58640251600)","56005001500; 59755404400; 57226609867; 59757269600; 58640251600","A 10-WEEK LARGE LANGUAGE MODEL-GENERATED (LLM) VERSUS HUMAN-MADE VOLLEYBALL TRAINING PROGRAM ON THE JUMPING PERFORMANCE OF COLLEGIATE VOLLEYBALL ATHLETES; [UM PROGRAMA DE TREINAMENTO DE VOLEIBOL DE 10 SEMANAS GERADO MODELO DE LINGUAGEM EM LARGA ESCALA (LLM) VERSUS PRODUZIDO POR HUMANOS SOBRE O DESEMPENHO DE SALTO DE ATLETAS UNIVERSITÁRIOS DE VOLEIBOL]","2025","Journal of Physical Education (Maringa)","36","1","e3611","","","","0","10.4025/jphyseduc.v36i1.3611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003718207&doi=10.4025%2fjphyseduc.v36i1.3611&partnerID=40&md5=32a0c8da0e370f0d7de447c36485ee9d","Davao Oriental State University, Davao Oriental, Mati, Philippines; Bulacan State University, Bulacan, Malolos, Philippines","Pajo L.S., Davao Oriental State University, Davao Oriental, Mati, Philippines; Rabuya R., Davao Oriental State University, Davao Oriental, Mati, Philippines; Andacao A., Davao Oriental State University, Davao Oriental, Mati, Philippines; Tuano A.M.S., Davao Oriental State University, Davao Oriental, Mati, Philippines; Lobo J., Bulacan State University, Bulacan, Malolos, Philippines","The study compared the effectiveness of AI-generated and human-generated volleyball training programs in enhancing vertical and horizontal jumping performance among 43 student-athletes. Participants were divided into an AI-generated volleyball training group (23 participants) and a human-made training group (20 participants), each following a 10-week, three-session-per-week program. Vertical and horizontal jumping performances were measured before and after the training programs using vertical and standing broad jump tests. Paired t-tests were used for within-group comparisons, and independent t-tests analyzed post-test differences. The AI-generated program improved right unilateral vertical and horizontal jumps but did not significantly affect bilateral or left unilateral jumps. Female athletes showed improvements in bilateral and right unilateral vertical jumps. The human-made program enhanced bilateral and right unilateral vertical jumps, especially in females, but did not significantly affect horizontal jumping performance. The study concluded that AI-generated programs have potential but have yet to be a substitute for professionally designed training programs. Further research is recommended to expand the study to include volleyball-specific skills. © 2025 Universidade Estadual de Maringa. All rights reserved.","Artificial intelligence; Jumping performance; LLM; Volleyball","","","Universidade Estadual de Maringa","","","","","","Article","Final","","Scopus","2-s2.0-105003718207"
"Geng M.; Chen A.","Geng, Mingyang (57204642410); Chen, Anping (59963330100)","57204642410; 59963330100","Optimized Scheduling for Multi-Drop Vehicle–Drone Collaboration with Delivery Constraints Using Large Language Models and Genetic Algorithms with Symmetry Principles","2025","Symmetry","17","6","934","","","","0","10.3390/sym17060934","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009141413&doi=10.3390%2fsym17060934&partnerID=40&md5=9b19dc2b4173acfa9792604c2000715c","College of Computer Science, National University of Defense Technology, Changsha, 410073, China; Department of Management, Enginearing, Ma’anshan Technical College, Ma’anshan, 243000, China","Geng M., College of Computer Science, National University of Defense Technology, Changsha, 410073, China; Chen A., Department of Management, Enginearing, Ma’anshan Technical College, Ma’anshan, 243000, China","With the rapid development of e-commerce and globalization, logistics distribution systems have become integral to modern economies, directly impacting transportation efficiency, resource utilization, and supply chain flexibility. However, solving the Vehicle and Multi-Drone Cooperative Delivery Problem with Delivery Restrictions is challenging due to complex constraints, including limited payloads, short endurance, regional restrictions, and multi-objective optimization. Traditional optimization methods, particularly genetic algorithms, struggle to address these complexities, often relying on static rules or single-objective optimization that fails to balance exploration and exploitation, resulting in local optima and slow convergence. The concept of symmetry plays a crucial role in optimizing the scheduling process, as many logistics problems inherently possess symmetrical properties. By exploiting these symmetries, we can reduce the problem’s complexity and improve solution efficiency. This study proposes a novel and scalable scheduling approach to address the Vehicle and Multi-Drone Cooperative Delivery Problem with Delivery Restrictions, tackling its high complexity, constraint handling, and real-world applicability. Specifically, we propose a logistics scheduling method called Loegised, which integrates large language models with genetic algorithms while incorporating symmetry principles to enhance the optimization process. Loegised includes three innovative modules: a cognitive initialization module to accelerate convergence by generating high-quality initial solutions, a dynamic operator parameter adjustment module to optimize crossover and mutation rates in real-time for better global search, and a local optimum escape mechanism to prevent stagnation and improve solution diversity. The experimental results on benchmark datasets show that Loegised achieves an average delivery time of 14.80, significantly outperforming six state-of-the-art baseline methods, with improvements confirmed by Wilcoxon signed-rank tests ((Formula presented.)). In large-scale scenarios, Loegised reduces delivery time by over 20% compared to conventional methods, demonstrating strong scalability and practical applicability. These findings validate the effectiveness and real-world potential of symmetry-enhanced, language model-guided optimization for advanced logistics scheduling. © 2025 by the authors.","dynamic constraints; genetic algorithm; large language models; logistics scheduling; multi-drone cooperative delivery; optimization algorithm","","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","","Article","Final","","Scopus","2-s2.0-105009141413"
"Água M.; António N.; Carrasco P.; Rassal C.","Água, Mariana (59509425700); António, Nuno (57193796752); Carrasco, Paulo (55953500500); Rassal, Carimo (58082183600)","59509425700; 57193796752; 55953500500; 58082183600","Large Language Models Powered Aspect-Based Sentiment Analysis for Enhanced Customer Insights; [Análise de Sentimentos por Aspetos com Modelos de Linguagem de Grande Escala para Melhor Compreensão dos Clientes]","2025","Tourism and Management Studies","21","1","","1","19","18","0","10.18089/tms.202501011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214652741&doi=10.18089%2ftms.202501011&partnerID=40&md5=bd4eaec0d839749a3f652e04ae1a4ecb","NOVA Information Management School (NOVA IMS), Portugal; NOVA Information Management School (NOVA IMS), Universidade Nova de Lisboa, Centre for Tourism Research, Development and Innovation (CiTUR), Portugal; School of Management Hospitality and Tourism (ESGHT), Universidade do Algarve, Centre for Tourism Research, Development and Innovation (CiTUR), Portugal; School of Management Hospitality and Tourism (ESGHT), Universidade do Algarve, CIDEHUS - Interdisciplinary Center for History Cultures and Societies of the University of Évora, Portugal","Água M., NOVA Information Management School (NOVA IMS), Portugal; António N., NOVA Information Management School (NOVA IMS), Universidade Nova de Lisboa, Centre for Tourism Research, Development and Innovation (CiTUR), Portugal; Carrasco P., School of Management Hospitality and Tourism (ESGHT), Universidade do Algarve, Centre for Tourism Research, Development and Innovation (CiTUR), Portugal; Rassal C., School of Management Hospitality and Tourism (ESGHT), Universidade do Algarve, CIDEHUS - Interdisciplinary Center for History Cultures and Societies of the University of Évora, Portugal","In the age of social networks, user-generated content has become vital for organizations in tourism and hospitality. Traditional sentiment analysis methods often struggle to process large volumes of data and capture implicit sentiments. This study examines the potential of Aspect-Based Sentiment Analysis (ABSA) using Large Language Models (LLMs) to enhance sentiment analysis. By employing GPT-4o via ChatGPT, we benchmark three approaches: a fuzzy logic-based method, manual human analysis, and a new ChatGPT-based analysis. We analyze a dataset of 500 all-inclusive hotel reviews, comparing these methods to assess ChatGPT's effectiveness in identifying nuanced language and handling subjectivity. The findings reveal a high similarity between ChatGPT and human analysis, showcasing ChatGPT's ability to interpret complex sentiments and automate sentiment classification tasks. This study highlights the potential of LLMs in transforming customer feedback analysis, providing deeper insights, and improving responsiveness in the hospitality industry. These results contribute to academia by presenting a framework for using LLMs in ABSA and guiding future applications and development. © 2025 University of Algarve. All rights reserved.","Aspect-Based Sentiment Analysis; Automated Sentiment Analysis; ChatGPT Applications; Customer Feedback Analysis; Large Language Models; Natural Language Processing","","","University of Algarve","","","","","","Article","Final","","Scopus","2-s2.0-85214652741"
"Rivas-Echeverria F.; Ramos L.T.; Ibarra J.L.; Zerpa-Bonillo S.; Arciniegas S.; Asprino-Salas M.","Rivas-Echeverria, Francklin (58601192900); Ramos, Leo Thomas (57976270500); Ibarra, Jose Luis (59187768600); Zerpa-Bonillo, Sonia (57219650701); Arciniegas, Stalin (57200384977); Asprino-Salas, Marilena (57210554505)","58601192900; 57976270500; 59187768600; 57219650701; 57200384977; 57210554505","LegalBot-EC: An LLM-Based Chatbot for Legal Assistance in Ecuadorian Law","2025","IEEE Access","13","","","106817","106833","16","0","10.1109/ACCESS.2025.3580488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008682506&doi=10.1109%2fACCESS.2025.3580488&partnerID=40&md5=78a6266cb59e0d0176fbdb46c8a0dfd8","Pontificia Universidad Católica del Ecuador Sede Ibarra, Escuela de Hábitat, Infraestructura y Creatividad, Ibarra, 100112, Ecuador; The University of Texas at Arlington, Department of Computer Science and Engineering, Arlington, 76019, TX, United States; Kauel Inc., Silicon Valley, Menlo Park, 94025, CA, United States; Universitat Autònoma de Barcelona, Computer Vision Center, Barcelona, 08193, Spain; Universidad de Otavalo, Otavalo, 100111, Ecuador; Pontificia Universidad Católica del Ecuador Sede Ibarra, Escuela de Ciencias Sociales y Humanidades, Ibarra, 100112, Ecuador","Rivas-Echeverria F., Pontificia Universidad Católica del Ecuador Sede Ibarra, Escuela de Hábitat, Infraestructura y Creatividad, Ibarra, 100112, Ecuador, The University of Texas at Arlington, Department of Computer Science and Engineering, Arlington, 76019, TX, United States, Kauel Inc., Silicon Valley, Menlo Park, 94025, CA, United States; Ramos L.T., Kauel Inc., Silicon Valley, Menlo Park, 94025, CA, United States, Universitat Autònoma de Barcelona, Computer Vision Center, Barcelona, 08193, Spain; Ibarra J.L., Pontificia Universidad Católica del Ecuador Sede Ibarra, Escuela de Hábitat, Infraestructura y Creatividad, Ibarra, 100112, Ecuador; Zerpa-Bonillo S., Universidad de Otavalo, Otavalo, 100111, Ecuador; Arciniegas S., Pontificia Universidad Católica del Ecuador Sede Ibarra, Escuela de Hábitat, Infraestructura y Creatividad, Ibarra, 100112, Ecuador; Asprino-Salas M., Pontificia Universidad Católica del Ecuador Sede Ibarra, Escuela de Ciencias Sociales y Humanidades, Ibarra, 100112, Ecuador","This work presents LegalBot-EC, a domain-specific legal chatbot designed to provide accurate responses grounded in Ecuadorian law. The system combines ChromaDB for contextual retrieval and LLaMA 3.1 as its generative model, ensuring legally relevant and contextually grounded answers. Its knowledge base consists of two key legal documents, the COIP and the 2008 Constitution of Ecuador, which serve as the foundation for response generation. The chatbot was evaluated through two key assessments: user satisfaction and accuracy measurement. A satisfaction study conducted with final-year university students specializing in law resulted in an average score of 88.72 out of 100, indicating strong approval in terms of correctness, relevance, and clarity. Additionally, an accuracy assessment based on 25 legal queries demonstrated robust performance, with 23 correct responses, 2 partially correct responses, and none classified as incorrect, yielding a weighted accuracy of 96%. Furthermore, qualitative tests confirm the chatbot’s ability to generate well-structured, legally sound responses, even when queried in English, demonstrating multilingual capabilities. © 2013 IEEE.","artificial intelligence; BERT; chatbot; Large language models; legal AI; legal informatics; LLaMA; natural language processing; transformer","Chatbots; Computational linguistics; Information use; Knowledge based systems; Search engines; BERT; Chatbots; Language model; Language processing; Large language model; Legal AI; Legal informatics; LLaMA; Natural language processing; Natural languages; Transformer; Natural language processing systems","","Institute of Electrical and Electronics Engineers Inc.","","","","","","Article","Final","","Scopus","2-s2.0-105008682506"
"Alimohammadi M.; Akbarzadeh-T M.-R.","Alimohammadi, Mehdi (59660031300); Akbarzadeh-T, Mohammad-R. (6603491496)","59660031300; 6603491496","State-space adaptive exploration for explainable particle swarm optimization","2025","Swarm and Evolutionary Computation","94","","101868","","","","2","10.1016/j.swevo.2025.101868","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219118414&doi=10.1016%2fj.swevo.2025.101868&partnerID=40&md5=83161ffde3ec0505f701cf4c4d385936","Department of Electrical Engineering, Center of Excellence on Soft Computing and Intelligent Information Processing, Ferdowsi University of Mashhad, Iran","Alimohammadi M., Department of Electrical Engineering, Center of Excellence on Soft Computing and Intelligent Information Processing, Ferdowsi University of Mashhad, Iran; Akbarzadeh-T M.-R., Department of Electrical Engineering, Center of Excellence on Soft Computing and Intelligent Information Processing, Ferdowsi University of Mashhad, Iran","A systems theory framework for swarm optimization algorithms promises the rigorous analysis of swarm behaviors and systematic approaches that could avoid ad hoc parameter settings and achieve guaranteed performances. However, optimization processes must treat various systems theory concepts, such as stability and controllability, differently, as swarm optimization relies on preserving diversity rather than reaching uniform agent behavior. This work addresses this duality of perspective and proposes State-Space Particle Swarm Optimization (SS-PSO) using the feedback concept in control systems theory. By exploiting the hidden analogy between these two paradigms, we introduce the concept of controllability for optimization purposes through state-space representation. Extending controllability to particle swarm optimization (PSO) highlights the ability to span the search space, emphasizing the significance of particles' movement rather than their loss of diversity. Furthermore, adaptive exploration (AE) using an iterative bisection algorithm is proposed for the PSO parameters that leverages this controllability measure and its minimum singular value to facilitate explainable swarm behaviors and escape local minima. Theoretical and numerical analyses reveal that SS-PSO is only uncontrollable when the cognitive factor is zero, implying less exploration. Finally, AE enhances exploration by increasing the controllability matrix's minimum singular value. This result underscores the profound connection between the controllability matrix and exploration, a critical insight that significantly enhances our understanding of swarm optimization. AE-based State-Space-PSO (AESS-PSO) shows improved exploration and performance over PSO in 86 SOP and CEC benchmarks, particularly for smaller populations. © 2025","Adaptive exploration; Controllability; Particle swarm optimization; State feedback control; Theoretical framework","Adaptive algorithms; Adaptive control systems; Benchmarking; Feedback control; Particle swarm optimization (PSO); State feedback; Swarm intelligence; System theory; Adaptive explorations; Minimum singular value; Optimisations; Particle swarm; Particle swarm optimization; State feedback control; State-space; Swarm behavior; Swarm optimization; Theoretical framework; Controllability","","Elsevier B.V.","","","","","","Article","Final","","Scopus","2-s2.0-85219118414"
"Lasheras U.; Alves E.; Pinheiro V.","Lasheras, Uriel (59696575300); Alves, Elioenai (59728554500); Pinheiro, Vladia (22433472700)","59696575300; 59728554500; 22433472700","Interventional and Counterfactual Causal Reasoning for LLM-based AI Agents: A Dataset and Evaluation in Portuguese; [Razonamiento Causal Intervencional y Contrafactual para Agentes de IA Basados en LLM: Un Conjunto de Datos y Evaluación en Portugués]","2025","Procesamiento del Lenguaje Natural","74","","","363","382","19","0","10.26342/2025-74-25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002175105&doi=10.26342%2f2025-74-25&partnerID=40&md5=c41471f14915de2efe5fb464f7a46f49","University of Fortaleza, Ceará, Brazil","Lasheras U., University of Fortaleza, Ceará, Brazil; Alves E., University of Fortaleza, Ceará, Brazil; Pinheiro V., University of Fortaleza, Ceará, Brazil","Large Language Models (LLMs) are increasingly central to advancements in generative AI across various domains. While some view these models as a potential step toward artificial general intelligence, their capacity to perform complex causal reasoning remains unverified. Causal reasoning, particularly at Pearl’s interventional and counterfactual levels, is critical for achieving true general intelligence. In this study, we propose a causal reasoning framework that includes a three-axis taxonomy for causality, designed to capture the intent, action requirements, and the three rungs of causality as defined by Pearl: associational, interventional, and counterfactual; and a human-in-the-loop approach to generate golden collections of natural causal questions, annotated according to the proposal taxonomy. We evaluated the seed questions of a golden collection in Portuguese using the LLM GPT-4o and Llama3.1 with two prompt strategies. Our findings reveal that both LLMs face significant challenges in addressing interventional and counterfactual causal queries. These results suggest limitations in the indiscriminate use of these LLMs for extending annotation to additional natural questions or for developing LLM-based causal AI agents. © 2025 Sociedad Espanola para el Procesamiento del Lenguaje Natural. All rights reserved.","Causal Reasoning; Counterfactual Reasoning; Interventional Reasoning; Large Language Models","","","Sociedad Espanola para el Procesamiento del Lenguaje Natural","","","","","","Article","Final","","Scopus","2-s2.0-105002175105"
"Mignot S.; Westerhoff F.","Mignot, Sarah (57226176162); Westerhoff, Frank (6701767280)","57226176162; 6701767280","Explaining the Stylized Facts of Foreign Exchange Markets with a Simple Agent-based Version of Paul de Grauwe’s Chaotic Exchange Rate Model","2025","Computational Economics","65","2","","845","876","31","3","10.1007/s10614-024-10546-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184907890&doi=10.1007%2fs10614-024-10546-z&partnerID=40&md5=91cb329163fcd896d981d28ff18db133","Department of Economics, University of Bamberg, Feldkirchenstrasse 21, Bamberg, 96045, Germany","Mignot S., Department of Economics, University of Bamberg, Feldkirchenstrasse 21, Bamberg, 96045, Germany; Westerhoff F., Department of Economics, University of Bamberg, Feldkirchenstrasse 21, Bamberg, 96045, Germany","We propose a simple agent-based version of Paul de Grauwe’s chaotic exchange rate model. In particular, we assume that each speculator follows his own technical and fundamental trading rule. Moreover, a speculator’s choice between these two trading philosophies depends on his individual assessment of current market circumstances. Our agent-based model setup is able to explain a number of important stylized facts of foreign exchange markets, including bubbles and crashes, excess volatility, fat-tailed return distributions, serially uncorrelated returns and volatility clustering. A stability and bifurcation analysis of its deterministic skeleton provides us with useful insights that foster our understanding of exchange rate dynamics. © The Author(s) 2024.","Agent-based computational economics; Chartists and fundamentalists; Exchange rates; Foreign exchange markets; Stability and bifurcation analysis","","","Springer","","","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85184907890"
"Gülmez B.","Gülmez, Burak (57211096048)","57211096048","GA-Attention-Fuzzy-Stock-Net: An optimized neuro-fuzzy system for stock market price prediction with genetic algorithm and attention mechanism","2025","Heliyon","11","3","e42393","","","","9","10.1016/j.heliyon.2025.e42393","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216718342&doi=10.1016%2fj.heliyon.2025.e42393&partnerID=40&md5=f465e70c0edf0f2daba0133a29f86ccf","Department of Industrial Engineering, Mudanya University, Mudanya, Bursa, 16940, Türkiye; Leiden Institute of Advanced Computer Science, Leiden University, Leiden, Netherlands","Gülmez B., Department of Industrial Engineering, Mudanya University, Mudanya, Bursa, 16940, Türkiye, Leiden Institute of Advanced Computer Science, Leiden University, Leiden, Netherlands","This study introduces GA-Attention-Fuzzy-Stock-Net, a novel hybrid architecture that integrates genetic algorithms, attention mechanisms, and neuro-fuzzy systems for stock market price prediction. The research investigates the effectiveness of different architectural configurations, including variations in fuzzy layer membership functions (triangular, trapezoidal, Gaussian) and neural network architectures (1D ANN, 2D ANN, 1D LSTM, 2D LSTM). The model's performance is evaluated across multiple temporal horizons using sliding windows (5-day, 10-day, 20-day) to capture varying market dynamics. Genetic algorithms optimize the hyperparameters, including learning rates and network architectures, while the attention mechanism enhances the model's ability to focus on relevant temporal patterns. The study utilizes data from major technology stocks. Results demonstrate that GA-Attention-Fuzzy-Stock-Net consistently outperforms traditional machine learning approaches and baseline models across different evaluation metrics (MSE, MAE, MAPE, R2). The findings provide valuable insights for practitioners in financial markets and contribute to the advancement of hybrid intelligent systems for time series prediction. The model's superior performance is attributed to its unique integration of evolutionary optimization, attention-based feature selection, and fuzzy logic's ability to handle uncertainty in financial data. © 2025 The Author","Attention mechanism; Fuzzy logic; Genetic algorithm; Neuro-Fuzzy system; Stock market price prediction","","","Elsevier Ltd","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85216718342"
